year,ncessch,school_name,lea_name,street_location,city_location,zip_location,county_code,latitude,longitude,school_level,school_type,school_status,charter,magnet,virtual,lowest_grade_offered,highest_grade_offered,enrollment,teachers_fte
2018,360003904439,AMBER CHARTER SCHOOL EAST HARLEM,AMBER CHARTER SCHOOL EAST HARLEM,220 E 106TH ST,NEW YORK,10029,36061,40.790947,-73.943891,1,1,1,1,0,0,0,5,526,27
2018,360004204466,BRONX PREPARATORY CHARTER SCHOOL,BRONX PREPARATORY CHARTER SCHOOL,3872 3RD AVE,BRONX,10457,36005,40.838976,-73.900102,3,1,1,1,0,0,6,12,706,53
2018,360004504493,BROOKLYN CHARTER SCHOOL (THE),BROOKLYN CHARTER SCHOOL (THE),545 WILLOUGHBY AVE,BROOKLYN,11206,36047,40.694236,-73.947566,1,1,1,1,0,0,0,5,209,12
2018,360004604487,COMMUNITY PARTNERSHIP CHARTER SCHOOL,COMMUNITY PARTNERSHIP CHARTER SCHOOL,241 EMERSON PL,BROOKLYN,11205,36047,40.691011,-73.961346,1,1,1,1,0,0,-1,8,411,42
2018,360004704413,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,132-142 E 111TH ST,NEW YORK,10029,36061,40.79554,-73.944543,1,1,1,1,0,0,0,8,282,20
2018,360004804457,HARRIET TUBMAN CHARTER SCHOOL,HARRIET TUBMAN CHARTER SCHOOL,3565 3RD AVE,BRONX,10456,36005,40.832184,-73.905563,1,1,1,1,0,0,0,8,682,53
2018,360004904470,ICAHN CHARTER SCHOOL 1,ICAHN CHARTER SCHOOL 1,1525 BROOK AVE,BRONX,10457,36005,40.839151,-73.905106,1,1,1,1,0,0,0,8,332,28
2018,360005304411,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,17 BATTERY PL,NEW YORK,10004,36061,40.70561,-74.015841,3,4,1,1,0,0,9,12,472,20
2018,360005404452,KIPP ACADEMY CHARTER SCHOOL,KIPP ACADEMY CHARTER SCHOOL,250 E 156TH ST-4TH FL,BRONX,10451,36005,40.822773,-73.921607,4,1,1,1,0,0,0,12,1061,83
2018,360005504777,MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL,MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL,136-25 218TH ST,SPRINGFIELD GARDENS,11413,36081,40.676288,-73.75307,1,1,1,1,0,0,0,5,523,26
2018,360005704804,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,36-12 35TH AVE,ASTORIA,11106,36081,40.755821,-73.924151,1,1,1,1,0,0,0,8,734,43
2018,360005904803,RENAISSANCE CHARTER SCHOOL,RENAISSANCE CHARTER SCHOOL,35-59 81ST ST,JACKSON HEIGHTS,11372,36081,40.749882,-73.885101,4,1,1,1,0,0,-1,12,558,43
2018,360006104438,SISULU-WALKER CHARTER SCHOOL OF HARLEM,SISULU-WALKER CHARTER SCHOOL OF HARLEM,125 W 115TH ST,NEW YORK,10026,36061,40.802065,-73.951362,1,1,1,1,0,0,0,5,220,11
2018,360006304875,BRONX CHARTER SCHOOL FOR THE ARTS,BRONX CHARTER SCHOOL FOR THE ARTS,950 LONGFELLOW AVE,BRONX,10474,36005,40.821821,-73.886466,1,1,1,1,0,0,0,6,431,31
2018,360006604877,FAMILY LIFE ACADEMY CHARTER SCHOOL I,FAMILY LIFE ACADEMY CHARTER SCHOOL I,14 W 170TH ST,BRONX,10452,36005,40.840247,-73.918591,1,1,1,1,0,0,0,5,266,15
2018,360006804870,HARLEM PREP CHARTER SCHOOL,HARLEM PREP CHARTER SCHOOL,240 E 123RD ST-1ST FL,NEW YORK,10035,36061,40.801566,-73.935357,4,1,1,1,0,0,0,11,951,71
2018,360007600624,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,145 STANTON ST-4TH FL,NEW YORK,10002,36061,40.720106,-73.986003,3,1,1,0,0,0,9,12,494,35
2018,360007600695,EAST SIDE COMMUNITY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,420 E 12TH ST,NEW YORK,10009,36061,40.729227,-73.982442,3,1,1,0,0,0,6,12,678,46
2018,360007601275,MARTA VALLE HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,145 STANTON ST,NEW YORK,10002,36061,40.72012,-73.98599,3,1,1,0,0,0,9,12,126,12
2018,360007602087,PS 15 ROBERTO CLEMENTE,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,333 E 4TH ST,NEW YORK,10009,36061,40.721903,-73.978775,1,1,1,0,0,0,-1,5,171,25
2018,360007602101,PS 19 ASHER LEVY,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,185 1ST AVE,NEW YORK,10003,36061,40.729885,-73.984224,1,1,1,0,0,0,-1,5,247,35
2018,360007602104,PS 20 ANNA SILVER,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,166 ESSEX ST,NEW YORK,10002,36061,40.721263,-73.986337,1,1,1,0,0,0,-1,5,482,34
2018,360007602157,PS 34 FRANKLIN D ROOSEVELT,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,730 E 12TH ST,NEW YORK,10009,36061,40.72624,-73.97498,1,1,1,0,0,0,-1,8,305,33
2018,360007602270,STAR ACADEMY PS 63 (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 1,121 E 3RD ST,NEW YORK,10009,36061,40.724394,-73.986271,1,1,1,0,0,0,-1,5,231,21
2018,360007602411,PS 110 FLORENCE NIGHTINGALE,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,285 DELANCEY ST,NEW YORK,10002,36061,40.715312,-73.980034,1,1,1,0,0,0,-1,5,374,23
2018,360007602492,PS 134 HENRIETTA SZOLD,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,293 E BROADWAY,NEW YORK,10002,36061,40.714299,-73.98327,1,1,1,0,0,0,-1,5,274,26
2018,360007602511,PS 140 NATHAN STRAUS,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,123 RIDGE ST,NEW YORK,10002,36061,40.719109,-73.983432,1,1,1,0,0,0,-1,8,386,30
2018,360007602515,PS 142 AMALIA CASTRO,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,100 ATTORNEY ST,NEW YORK,10002,36061,40.718333,-73.984033,1,1,1,0,0,0,-1,5,357,40
2018,360007603352,CASCADES HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,198 FORSYTH ST-3RD FL,NEW YORK,10002,36061,40.722406,-73.990609,3,1,1,0,0,0,9,12,164,12
2018,360007603508,PS 184 SHUANG WEN,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,327 CHERRY ST-2ND FL,NEW YORK,10002,36061,40.711412,-73.985468,1,1,1,0,0,0,-1,8,675,51
2018,360007603680,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,200 MONROE ST,NEW YORK,10002,36061,40.712344,-73.984063,3,1,1,0,0,0,9,12,482,32
2018,360007604868,PS 64 ROBERT SIMON,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,600 E 6TH ST,NEW YORK,10009,36061,40.724207,-73.981582,1,1,1,0,0,0,-1,5,225,21
2018,360007604869,PS 188 ISLAND SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 1,442 E HOUSTON ST,NEW YORK,10002,36061,40.719714,-73.977508,1,1,1,0,0,0,-1,8,405,34
2018,360007604873,NEW EXPLORATIONS INTO SCIENCETECH AND MATH HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,111 COLUMBIA ST,NEW YORK,10002,36061,40.719264,-73.979627,4,1,1,0,0,0,0,12,1752,95
2018,360007605614,ORCHARD COLLEGIATE ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,220 HENRY ST,NEW YORK,10002,36061,40.71321,-73.98597,3,1,1,0,0,0,9,12,198,17
2018,360007605615,EAST VILLAGE COMMUNITY SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 1,610 E 12TH ST,NEW YORK,10009,36061,40.727688,-73.978441,1,1,1,0,0,0,-1,5,333,24
2018,360007605616,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,220 HENRY ST,NEW YORK,10002,36061,40.713233,-73.985989,2,1,1,0,0,0,6,8,207,26
2018,360007605617,CHILDRENS WORKSHOP SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 1,610 E 12TH ST,NEW YORK,10009,36061,40.727703,-73.978458,1,1,1,0,0,0,-1,5,324,27
2018,360007605618,NEIGHBORHOOD SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,121 E 3RD ST,NEW YORK,10009,36061,40.724368,-73.986274,1,1,1,0,0,0,-1,5,307,23
2018,360007605619,EARTH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,600 E 6TH ST,NEW YORK,10009,36061,40.724196,-73.981597,1,1,1,0,0,0,-1,5,351,31
2018,360007605620,TOMPKINS SQUARE MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,600 E 6TH ST,NEW YORK,10009,36061,40.724196,-73.981583,2,1,1,0,0,0,6,8,362,30
2018,360007605621,BARD HIGH SCHOOL EARLY COLLEGE,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,525 E HOUSTON ST,NEW YORK,10002,36061,40.718322,-73.976081,3,1,1,0,0,0,9,12,614,40
2018,360007605763,TECHNOLOGY ARTS AND SCIENCES STUDIO SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,185 1ST AVE,NEW YORK,10003,36061,40.729887,-73.984215,-1,1,2,0,,,,,,
2018,360007606021,SCHOOL FOR GLOBAL LEADERS,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,145 STANTON ST,NEW YORK,10002,36061,40.72012,-73.98599,2,1,1,0,0,0,6,8,252,33
2018,360007606296,FORSYTHE SATELLITE ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,198 FORSYTH ST,NEW YORK,10002,36061,40.722406,-73.990609,3,1,1,0,0,0,9,12,174,14
2018,360007700116,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,444 W 56TH ST,NEW YORK,10019,36061,40.767847,-73.988758,3,1,1,0,0,0,9,12,1160,71
2018,360007700582,LANDMARK HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,351 W 18TH ST,NEW YORK,10011,36061,40.743343,-74.002594,3,1,1,0,0,0,9,12,332,26
2018,360007700584,MANHATTAN VILLAGE ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,43 W 22ND ST,NEW YORK,10010,36061,40.741993,-73.992267,3,1,1,0,0,0,9,12,452,29
2018,360007700585,VANGUARD HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,317 E 67TH ST-RM 401,NEW YORK,10021,36061,40.765457,-73.959748,3,1,1,0,0,0,9,12,422,38
2018,360007700586,MANHATTAN INTERNATIONAL HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,317 E 67TH ST,NEW YORK,10021,36061,40.765468,-73.959728,3,1,1,0,0,0,9,12,315,21
2018,360007700595,UNITY CENTER FOR URBAN TECHNOLOGIES,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,111 E 33RD ST,NEW YORK,10016,36061,40.746459,-73.9811,3,1,1,0,0,0,9,12,278,17
2018,360007700637,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,250 W 18TH ST,NEW YORK,10011,36061,40.741842,-74.000248,3,1,1,0,0,0,9,12,411,26
2018,360007700649,HIGH SCHOOL 560 CITY-AS-SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,16 CLARKSON ST,NEW YORK,10014,36061,40.729132,-74.006203,3,1,1,0,0,0,10,12,529,35
2018,360007700668,SATELLITE ACADEMY HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,120 W 30TH ST,NEW YORK,10001,36061,40.747533,-73.990621,7,1,1,0,0,0,9,9,270,15
2018,360007700691,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,345 E 15TH ST,NEW YORK,10003,36061,40.732593,-73.9826,3,1,1,0,0,0,9,12,1840,100
2018,360007700692,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,90 TRINITY PL,NEW YORK,10006,36061,40.70896,-74.012527,3,1,1,0,0,0,9,12,474,29
2018,360007700700,HIGH SCHOOL OF ECONOMICS & FINANCE,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,100 TRINITY PL,NEW YORK,10006,36061,40.709264,-74.012352,3,1,1,0,0,0,9,12,743,43
2018,360007701219,PS 290 MANHATTAN NEW SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,311 E 82ND ST,NEW YORK,10028,36061,40.77515,-73.952833,1,1,1,0,0,0,-1,5,596,38
2018,360007701297,TALENT UNLIMITED HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,317 E 67TH ST,NEW YORK,10021,36061,40.765461,-73.95975,3,1,1,0,0,0,9,12,519,35
2018,360007701299,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,120 W 46TH ST,NEW YORK,10036,36061,40.757722,-73.983326,3,1,1,0,0,0,9,12,453,31
2018,360007701713,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,123 W 43RD ST,NEW YORK,10036,36061,40.756051,-73.984398,3,1,1,0,0,0,9,12,236,14
2018,360007701720,INSTITUTE FOR COLLABORATIVE EDUCATION,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,345 E 15TH ST,NEW YORK,10003,36061,40.732585,-73.98263,3,1,1,0,0,0,6,12,484,28
2018,360007701723,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,328 W 48TH ST,NEW YORK,10036,36061,40.761443,-73.988578,3,1,1,0,0,0,6,12,562,30
2018,360007701911,ART AND DESIGN HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,231-249 E 56TH ST,NEW YORK,10019,36061,40.759105,-73.965913,3,3,1,0,0,0,9,12,1485,93
2018,360007701934,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,131 AVE OF THE AMERICAS,NEW YORK,10013,36061,40.724605,-74.005008,3,3,1,0,0,0,9,12,453,38
2018,360007701949,HIGH SCHOOL OF FASHION INDUSTRIES (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 2,225 W 24TH ST,NEW YORK,10011,36061,40.74557,-73.996456,3,3,1,0,0,0,9,12,1591,105
2018,360007702034,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,411 PEARL ST,NEW YORK,10038,36061,40.711205,-74.001485,3,1,1,0,0,0,9,12,184,19
2018,360007702042,PS 1 ALFRED E SMITH,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,8 HENRY ST,NEW YORK,10038,36061,40.712613,-73.997523,1,1,1,0,0,0,-1,5,293,25
2018,360007702047,PS 2 MEYER LONDON,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,122 HENRY ST,NEW YORK,10002,36061,40.713079,-73.991494,1,1,1,0,0,0,-1,5,476,44
2018,360007702049,PS 3 CHARRETTE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,490 HUDSON ST,NEW YORK,10014,36061,40.73253,-74.006031,1,1,1,0,0,0,-1,5,731,44
2018,360007702058,PS 6 LILLIE D BLAKE,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,45 E 81ST ST,NEW YORK,10028,36061,40.777579,-73.960474,1,1,1,0,0,0,-1,5,669,41
